devstage,region,max_pathlength,crosssection
0hAPF,DV,85.22161435741073,Along_DV
0hAPF,outDV,68.08180048823782,Across_DV
120hAEL,DV,44.24579795670029,Along_DV
120hAEL,outDV,41.386468301385975,Across_DV
2hAPF,DV,95.33637481987545,Along_DV
2hAPF,outDV,75.94802876980464,Across_DV
4hAPF,DV,103.39272962125203,Along_DV
4hAPF,outDV,82.00135157452728,Across_DV
6hAPF,DV,204.07957063113997,Along_DV
6hAPF,outDV,110.00269884527499,Across_DV
96hAEL,DV,41.63376258032763,Along_DV
96hAEL,outDV,39.74474603581062,Across_DV
wL3,DV,60.87647196327633,Along_DV
wL3,outDV,58.65769628945678,Across_DV
