stage,stage_name,prop,value,stage_init,stage_final,roi
0,wL3 to 0hAPF,lambda_isotropic_coeffs,[0.05606212 0.96370083],wL3,0hAPF,outDV
1,0hAPF to 2hAPF,lambda_isotropic_coeffs,[-0.10286733  1.24911245],0hAPF,2hAPF,outDV
2,2hAPF to 4hAPF,lambda_isotropic_coeffs,[-0.10493454  1.14734297],2hAPF,4hAPF,outDV
3,4hAPF to 6hAPF,lambda_isotropic_coeffs,[-0.03379866  0.95393013],4hAPF,6hAPF,outDV
0,wL3 to 0hAPF,inDV_lambda_isotropic_coeffs,[-0.04336598  1.01558537],wL3,0hAPF,DV
1,0hAPF to 2hAPF,inDV_lambda_isotropic_coeffs,[-0.00515759  0.98236562],0hAPF,2hAPF,DV
2,2hAPF to 4hAPF,inDV_lambda_isotropic_coeffs,[-0.05978162  1.06497062],2hAPF,4hAPF,DV
3,4hAPF to 6hAPF,inDV_lambda_isotropic_coeffs,[0.03955791 1.41687257],4hAPF,6hAPF,DV
0,wL3 to 0hAPF,lambda_Q_coeffs,[-0.0770157   1.01577994],wL3,0hAPF,outDV
1,0hAPF to 2hAPF,lambda_Q_coeffs,[0.03405536 0.95904056],0hAPF,2hAPF,outDV
2,2hAPF to 4hAPF,lambda_Q_coeffs,[-0.00459347  0.99728768],2hAPF,4hAPF,outDV
3,4hAPF to 6hAPF,lambda_Q_coeffs,[0.08075099 0.99365271],4hAPF,6hAPF,outDV
0,wL3 to 0hAPF,inDV_lambda_Q_coeffs,[-0.02650632  1.08501811],wL3,0hAPF,DV
1,0hAPF to 2hAPF,inDV_lambda_Q_coeffs,[0.04365294 0.99843244],0hAPF,2hAPF,DV
2,2hAPF to 4hAPF,inDV_lambda_Q_coeffs,[-0.09115009  1.03123837],2hAPF,4hAPF,DV
3,4hAPF to 6hAPF,inDV_lambda_Q_coeffs,[0.09436042 0.91018492],4hAPF,6hAPF,DV
0,wL3 to 0hAPF,lambda_rearrangement_coeffs,[0.04131786 1.00595743],wL3,0hAPF,outDV
1,0hAPF to 2hAPF,lambda_rearrangement_coeffs,[-0.00195061  1.05642503],0hAPF,2hAPF,outDV
2,2hAPF to 4hAPF,lambda_rearrangement_coeffs,[0.10327161 0.94235788],2hAPF,4hAPF,outDV
3,4hAPF to 6hAPF,lambda_rearrangement_coeffs,[-0.11119417  1.04540698],4hAPF,6hAPF,outDV
0,wL3 to 0hAPF,inDV_lambda_rearrangement_coeffs,[4.62163308e-04 8.91997702e-01],wL3,0hAPF,DV
1,0hAPF to 2hAPF,inDV_lambda_rearrangement_coeffs,[-0.1838248   0.99072554],0hAPF,2hAPF,DV
2,2hAPF to 4hAPF,inDV_lambda_rearrangement_coeffs,[-0.03725622  1.16403072],2hAPF,4hAPF,DV
3,4hAPF to 6hAPF,inDV_lambda_rearrangement_coeffs,[-0.3384191   1.16670217],4hAPF,6hAPF,DV
0,wL3 to 0hAPF,lambda_anisotropic_coeffs,[-0.03716389  1.02863403],wL3,0hAPF,outDV
1,0hAPF to 2hAPF,lambda_anisotropic_coeffs,[0.02954667 1.01346703],0hAPF,2hAPF,outDV
2,2hAPF to 4hAPF,lambda_anisotropic_coeffs,[0.09038217 0.94198324],2hAPF,4hAPF,outDV
3,4hAPF to 6hAPF,lambda_anisotropic_coeffs,[-0.0143742   1.03176898],4hAPF,6hAPF,outDV
0,wL3 to 0hAPF,inDV_lambda_anisotropic_coeffs,[-0.00169295  0.94820985],wL3,0hAPF,DV
1,0hAPF to 2hAPF,inDV_lambda_anisotropic_coeffs,[-0.17804712  1.02902771],0hAPF,2hAPF,DV
2,2hAPF to 4hAPF,inDV_lambda_anisotropic_coeffs,[-0.15695444  1.21081288],2hAPF,4hAPF,DV
3,4hAPF to 6hAPF,inDV_lambda_anisotropic_coeffs,[-0.23195456  1.07414326],4hAPF,6hAPF,DV
0,wL3 to 0hAPF,lambda_height_coeffs,[-0.05593844  0.34991435  0.77802376],wL3,0hAPF,outDV
1,0hAPF to 2hAPF,lambda_height_coeffs,[-0.16684057  0.23528603  1.0149749 ],0hAPF,2hAPF,outDV
2,2hAPF to 4hAPF,lambda_height_coeffs,[-0.18429089  0.13904364  1.07872722],2hAPF,4hAPF,outDV
3,4hAPF to 6hAPF,lambda_height_coeffs,[ 0.35832314 -0.14722409  0.70122636],4hAPF,6hAPF,outDV
0,wL3 to 0hAPF,inDV_lambda_height_coeffs,[ 0.23744526 -0.21820842  0.96102998],wL3,0hAPF,DV
1,0hAPF to 2hAPF,inDV_lambda_height_coeffs,[-0.10008124  0.15210242  0.86737594],0hAPF,2hAPF,DV
2,2hAPF to 4hAPF,inDV_lambda_height_coeffs,[-0.24274588  0.19699976  0.87196175],2hAPF,4hAPF,DV
3,4hAPF to 6hAPF,inDV_lambda_height_coeffs,[ 0.06745602 -0.0858795   0.7003756 ],4hAPF,6hAPF,DV
